project,snapshot,date,cyclic_module
NutriCompass,NutriCompass_backup_20260212,2026-02-12,NutriCompass/NutriCompass_backup_20260212/NutriCompass/Data/Repositories
NutriCompass,NutriCompass_backup_20260212,2026-02-12,NutriCompass/NutriCompass_backup_20260212/NutriCompass/Domain/Models
NutriCompass,NutriCompass_backup_20260212,2026-02-12,NutriCompass/NutriCompass_backup_20260212/NutriCompass/Infrastructure/Models
NutriCompass,NutriCompass_backup_20260212,2026-02-12,NutriCompass/NutriCompass_backup_20260212/NutriCompass/Infrastructure/Networking
NutriCompass,NutriCompass_backup_20260213,2026-02-13,NutriCompass/NutriCompass_backup_20260213/NutriCompass/Data/Repositories
NutriCompass,NutriCompass_backup_20260213,2026-02-13,NutriCompass/NutriCompass_backup_20260213/NutriCompass/Domain/Models
NutriCompass,NutriCompass_backup_20260213,2026-02-13,NutriCompass/NutriCompass_backup_20260213/NutriCompass/Infrastructure/Models
NutriCompass,NutriCompass_backup_20260213,2026-02-13,NutriCompass/NutriCompass_backup_20260213/NutriCompass/Infrastructure/Networking
NutriCompass,NutriCompass_backup_20260214,2026-02-14,NutriCompass/NutriCompass_backup_20260214/NutriCompass/Data/Repositories
NutriCompass,NutriCompass_backup_20260214,2026-02-14,NutriCompass/NutriCompass_backup_20260214/NutriCompass/Domain/Models
NutriCompass,NutriCompass_backup_20260214,2026-02-14,NutriCompass/NutriCompass_backup_20260214/NutriCompass/Infrastructure/Models
NutriCompass,NutriCompass_backup_20260214,2026-02-14,NutriCompass/NutriCompass_backup_20260214/NutriCompass/Infrastructure/Networking
NutriCompass,NutriCompass_backup_20260215,2026-02-15,NutriCompass/NutriCompass_backup_20260215/NutriCompass/Data/Repositories
NutriCompass,NutriCompass_backup_20260215,2026-02-15,NutriCompass/NutriCompass_backup_20260215/NutriCompass/Domain/Models
NutriCompass,NutriCompass_backup_20260215,2026-02-15,NutriCompass/NutriCompass_backup_20260215/NutriCompass/Infrastructure/Models
NutriCompass,NutriCompass_backup_20260215,2026-02-15,NutriCompass/NutriCompass_backup_20260215/NutriCompass/Infrastructure/Networking
NutriCompass,NutriCompass_backup_20260216,2026-02-16,NutriCompass/NutriCompass_backup_20260216/NutriCompass/Data/Repositories
NutriCompass,NutriCompass_backup_20260216,2026-02-16,NutriCompass/NutriCompass_backup_20260216/NutriCompass/Domain/Models
NutriCompass,NutriCompass_backup_20260216,2026-02-16,NutriCompass/NutriCompass_backup_20260216/NutriCompass/Infrastructure/Models
NutriCompass,NutriCompass_backup_20260216,2026-02-16,NutriCompass/NutriCompass_backup_20260216/NutriCompass/Infrastructure/Networking
NutriCompass,NutriCompass_backup_20260217,2026-02-17,NutriCompass/NutriCompass_backup_20260217/NutriCompass/Data/Repositories
NutriCompass,NutriCompass_backup_20260217,2026-02-17,NutriCompass/NutriCompass_backup_20260217/NutriCompass/Domain/Models
NutriCompass,NutriCompass_backup_20260217,2026-02-17,NutriCompass/NutriCompass_backup_20260217/NutriCompass/Domain/OCR
NutriCompass,NutriCompass_backup_20260217,2026-02-17,NutriCompass/NutriCompass_backup_20260217/NutriCompass/Infrastructure/Networking
NutriCompass,NutriCompass_backup_20260217,2026-02-17,NutriCompass/NutriCompass_backup_20260217/NutriCompass/Infrastructure/OCR
NutriCompass,NutriCompass_backup_20260217,2026-02-17,NutriCompass/NutriCompass_backup_20260217/NutriCompass/Presentation/ViewModels
NutriCompass,NutriCompass_backup_20260218,2026-02-18,NutriCompass/NutriCompass_backup_20260218/NutriCompass/Data/Repositories
NutriCompass,NutriCompass_backup_20260218,2026-02-18,NutriCompass/NutriCompass_backup_20260218/NutriCompass/Domain/Models
NutriCompass,NutriCompass_backup_20260218,2026-02-18,NutriCompass/NutriCompass_backup_20260218/NutriCompass/Domain/OCR
NutriCompass,NutriCompass_backup_20260218,2026-02-18,NutriCompass/NutriCompass_backup_20260218/NutriCompass/Infrastructure/Networking
NutriCompass,NutriCompass_backup_20260218,2026-02-18,NutriCompass/NutriCompass_backup_20260218/NutriCompass/Infrastructure/OCR
NutriCompass,NutriCompass_backup_20260218,2026-02-18,NutriCompass/NutriCompass_backup_20260218/NutriCompass/Presentation/ViewModels
